cowcode,iso3166,country_ID,country_name,abbr_country,region_ID,region_name,year,tier,type,tier_instdepth,tier_policy,tier_fiscauto,tier_borrowauto,tier_rep,tier_lawmaking,tier_execcon,tier_fisccon,tier_borrowcon,tier_constit,tier_selfrule,tier_sharedrule,tier_RAI,COMPONENTS,instdepth,policy,fiscauto,borrowauto,assembly,executive,law_a,law_b,law_c,law_d,law_e,law_f,execcon_multi,execcon_bi,fisccon_multi,fisccon_bi,borrowcon_multi,borrowcon_bi,constit_multi,constit_bi
900,36,2,Australia,AUS,202,Northern Territory,1971,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1972,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1973,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1974,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1975,1,D,1,0,0,0,4,1.5,0,0,0,1,5,2.5,7.5,,1,0,0,0,2,2,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0
900,36,2,Australia,AUS,202,Northern Territory,1976,1,D,1,0,0,0,4,1.5,0,0,0,1,5,2.5,7.5,,1,0,0,0,2,2,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0
900,36,2,Australia,AUS,202,Northern Territory,1977,1,D,1,0,0,0,4,1.5,0,0,0,1,5,2.5,7.5,,1,0,0,0,2,2,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0
900,36,2,Australia,AUS,202,Northern Territory,1978,1,A,2,3,2,1,4,1.5,2,1,1,3,12,8.5,20.5,,2,3,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,1,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1979,1,A,2,3,2,1,4,1.5,2,1,1,3,12,8.5,20.5,,2,3,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,1,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1980,1,A,2,3,2,1,4,1.5,2,1,1,3,12,8.5,20.5,,2,3,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,1,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1981,1,A,2,3,2,1,4,1.5,2,1,1,3,12,8.5,20.5,,2,3,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,1,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1982,1,A,2,3,2,1,4,1.5,2,1,1,3,12,8.5,20.5,,2,3,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,1,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1983,1,A,2,3,2,1,4,1.5,2,1,1,3,12,8.5,20.5,,2,3,2,1,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,1,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1984,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1985,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1986,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1987,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1988,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1989,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1990,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1991,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1992,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1993,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1994,1,A,2,3,2,3,4,1.5,2,1,0,3,14,7.5,21.5,,2,3,2,3,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,0,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1995,1,A,2,3,2,2,4,1.5,2,1,2,3,13,9.5,22.5,,2,3,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1996,1,A,2,3,2,2,4,1.5,2,1,2,3,13,9.5,22.5,,2,3,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1997,1,A,2,3,2,2,4,1.5,2,1,2,3,13,9.5,22.5,,2,3,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1998,1,A,2,3,2,2,4,1.5,2,1,2,3,13,9.5,22.5,,2,3,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,1,0,2,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1999,1,A,2,3,2,2,4,1.5,2,2,2,3,13,10.5,23.5,,2,3,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
